"","x"
"771","FBgn0261881"
"772","FBgn0028926"
"773","FBgn0001974"
"774","FBgn0260446"
"775","FBgn0001977"
"776","FBgn0004837"
"777","FBgn0010422"
"778","FBgn0024183"
"779","FBgn0028879"
"780","FBgn0001978"
"781","FBgn0028516"
"782","FBgn0027559"
"783","FBgn0259982"
"784","FBgn0261268"
"785","FBgn0086691"
"786","FBgn0028852"
"787","FBgn0001981"
"788","FBgn0001983"
"789","FBgn0028892"
"790","FBgn0003448"
"791","FBgn0020371"
"792","FBgn0002524"
"793","FBgn0028864"
"794","FBgn0051780"
"795","FBgn0051827"
"796","FBgn0010382"
"797","FBgn0001989"
"798","FBgn0001986"
"799","FBgn0001987"
"800","FBgn0028507"
"801","FBgn0041627"
"802","FBgn0028902"
"803","FBgn0041183"
"804","FBgn0051823"
"805","FBgn0051821"
"806","FBgn0028514"
"807","FBgn0000182"
"808","FBgn0001991"
"809","FBgn0024734"
"810","FBgn0002673"
"811","FBgn0028897"
"812","FBgn0001994"
"813","FBgn0040079"
"814","FBgn0028894"
"815","FBgn0015338"
"816","FBgn0011708"
"817","FBgn0000339"
"818","FBgn0001995"
"819","FBgn0025678"
"820","FBgn0005677"
"821","FBgn0259735"
"822","FBgn0032593"
"823","FBgn0261278"
"824","FBgn0051782"
"825","FBgn0086907"
"826","FBgn0000409"
"827","FBgn0027779"
"828","FBgn0032595"
"829","FBgn0032596"
"830","FBgn0032597"
"831","FBgn0015391"
"832","FBgn0032598"
"833","FBgn0261068"
"834","FBgn0032600"
"835","FBgn0004797"
"836","FBgn0022213"
"837","FBgn0051739"
"838","FBgn0052832"
"839","FBgn0040985"
"840","FBgn0261671"
"841","FBgn0260758"
"842","FBgn0032620"
"843","FBgn0026150"
"844","FBgn0032634"
"845","FBgn0032635"
"846","FBgn0032638"
"847","FBgn0032639"
"848","FBgn0000183"
"849","FBgn0024689"
"850","FBgn0032643"
"851","FBgn0003187"
"852","FBgn0032646"
"853","FBgn0013810"
"854","FBgn0032650"
"855","FBgn0032651"
"856","FBgn0032652"
"857","FBgn0015609"
"858","FBgn0262018"
"859","FBgn0262017"
"860","FBgn0023096"
"861","FBgn0051742"
"862","FBgn0032660"
"863","FBgn0243486"
"864","FBgn0000120"
"865","FBgn0032664"
"866","FBgn0032671"
"867","FBgn0032673"
"868","FBgn0051802"
"869","FBgn0051787"
"870","FBgn0032677"
"871","FBgn0011559"
"872","FBgn0261597"
"873","FBgn0086707"
